#,Taken,By,LocationID Desk,Code,Result,Detail,Slot,Start
7e56a85dfeb1eea18ca1e813649e2fed045da88b_9,2019-02-11 09:00:00,botrak,William_0ecfc805e1383c0a408111971c476e243ae97a13_0,5871,In Use (PC In Use),,22789,2019-02-11 09:00:00
7e56a85dfeb1eea18ca1e813649e2fed045da88b_10,2019-02-11 10:00:00,botrak,William_0ecfc805e1383c0a408111971c476e243ae97a13_0,5871,Vacant,,22789,2019-02-11 10:00:00
7e56a85dfeb1eea18ca1e813649e2fed045da88b_11,2019-02-11 11:00:00,botrak,William_0ecfc805e1383c0a408111971c476e243ae97a13_0,5871,In Use (PC In Use),,22789,2019-02-11 11:00:00
7e56a85dfeb1eea18ca1e813649e2fed045da88b_12,2019-02-11 12:00:00,botrak,William_0ecfc805e1383c0a408111971c476e243ae97a13_0,5871,Vacant,,22789,2019-02-11 12:00:00
7e56a85dfeb1eea18ca1e813649e2fed045da88b_13,2019-02-11 13:00:00,botrak,William_0ecfc805e1383c0a408111971c476e243ae97a13_0,5871,Vacant,,22789,2019-02-11 13:00:00
7e56a85dfeb1eea18ca1e813649e2fed045da88b_14,2019-02-11 14:00:00,botrak,William_0ecfc805e1383c0a408111971c476e243ae97a13_0,5871,Sign of Life,,22789,2019-02-11 14:00:00
7e56a85dfeb1eea18ca1e813649e2fed045da88b_15,2019-02-11 15:00:00,botrak,William_0ecfc805e1383c0a408111971c476e243ae97a13_0,5871,Sign of Life,,22789,2019-02-11 15:00:00
7e56a85dfeb1eea18ca1e813649e2fed045da88b_16,2019-02-11 16:00:00,botrak,William_0ecfc805e1383c0a408111971c476e243ae97a13_0,5871,In Use (PC In Use),,22789,2019-02-11 16:00:00
7e56a85dfeb1eea18ca1e813649e2fed045da88b_17,2019-02-11 17:00:00,botrak,William_0ecfc805e1383c0a408111971c476e243ae97a13_0,5871,In Use (PC In Use),,22789,2019-02-11 17:00:00
7e56a85dfeb1eea18ca1e813649e2fed045da88b_10,2019-02-12 09:00:00,botrak,William_0ecfc805e1383c0a408111971c476e243ae97a13_0,5871,In Use (PC In Use),,22789,2019-02-12 09:00:00
7e56a85dfeb1eea18ca1e813649e2fed045da88b_11,2019-02-12 10:00:00,botrak,William_0ecfc805e1383c0a408111971c476e243ae97a13_0,5871,Vacant,,22789,2019-02-12 10:00:00
7e56a85dfeb1eea18ca1e813649e2fed045da88b_12,2019-02-12 11:00:00,botrak,William_0ecfc805e1383c0a408111971c476e243ae97a13_0,5871,Sign of Life,,22789,2019-02-12 11:00:00
7e56a85dfeb1eea18ca1e813649e2fed045da88b_13,2019-02-12 12:00:00,botrak,William_0ecfc805e1383c0a408111971c476e243ae97a13_0,5871,In Use (PC In Use),,22789,2019-02-12 12:00:00
7e56a85dfeb1eea18ca1e813649e2fed045da88b_14,2019-02-12 13:00:00,botrak,William_0ecfc805e1383c0a408111971c476e243ae97a13_0,5871,Vacant,,22789,2019-02-12 13:00:00
7e56a85dfeb1eea18ca1e813649e2fed045da88b_15,2019-02-12 14:00:00,botrak,William_0ecfc805e1383c0a408111971c476e243ae97a13_0,5871,Sign of Life,,22789,2019-02-12 14:00:00
7e56a85dfeb1eea18ca1e813649e2fed045da88b_16,2019-02-12 15:00:00,botrak,William_0ecfc805e1383c0a408111971c476e243ae97a13_0,5871,Sign of Life,,22789,2019-02-12 15:00:00
7e56a85dfeb1eea18ca1e813649e2fed045da88b_17,2019-02-12 16:00:00,botrak,William_0ecfc805e1383c0a408111971c476e243ae97a13_0,5871,Vacant,,22789,2019-02-12 16:00:00
